DAY,MONTH,YEAR,Student_Roll,DEPARTMENT_No,COLLEGE_NAME,COURSE_NAME,FACULTY_NAME,RESULT_MARKS
1,1,2025,912307252,104,Theta Design Academy,Mechanical Engineering,Leena Desai,90
2,1,2025,543872930,104,Beta Engineering College,Chemical Engineering,Sneha Das,40
3,1,2025,829026544,103,Gamma Arts College,Civil Engineering,Priya Mehta,80
4,1,2025,219270881,109,Gamma Arts College,Data Science,Priya Mehta,70
5,1,2025,345485455,108,Eta Polytechnic,Civil Engineering,Priya Mehta,73
6,1,2025,710272001,101,Beta Engineering College,Electrical Engineering,Kavita Jain,86
7,1,2025,757406011,101,Gamma Arts College,Biotechnology,Leena Desai,88
8,1,2025,462272745,103,Epsilon Medical Institute,Biotechnology,Sneha Das,40
9,1,2025,470677855,109,Theta Design Academy,Physics,Priya Mehta,58
10,1,2025,226036333,106,Beta Engineering College,Electrical Engineering,Ananya Roy,63
11,1,2025,686784749,107,Beta Engineering College,Data Science,Asha Sharma,95
12,1,2025,131289025,104,Iota Technical College,Mathematics,Priya Mehta,58
13,1,2025,608537429,104,Beta Engineering College,Electrical Engineering,Arun Singh,91
14,1,2025,187425450,108,Epsilon Medical Institute,AI & Machine Learning,Ravi Gupta,94
15,1,2025,220809372,110,Iota Technical College,Electrical Engineering,Sneha Das,73
16,1,2025,933065203,101,Eta Polytechnic,Biotechnology,Ravi Gupta,43
17,1,2025,167158323,105,Kappa Law School,Physics,Priya Mehta,62
18,1,2025,591036295,110,Epsilon Medical Institute,Data Science,Leena Desai,84
19,1,2025,605467445,106,Delta Science University,Chemical Engineering,Ananya Roy,48
20,1,2025,512659234,104,Epsilon Medical Institute,Civil Engineering,Kavita Jain,45
21,1,2025,394046318,101,Beta Engineering College,Electrical Engineering,Leena Desai,72
22,1,2025,370386947,108,Beta Engineering College,Mechanical Engineering,Ravi Gupta,48
23,1,2025,334353077,105,Alpha Institute of Technology,Computer Science,Sneha Das,96
24,1,2025,603622181,103,Beta Engineering College,Civil Engineering,Rajan Patel,80
25,1,2025,539377170,107,Epsilon Medical Institute,Electrical Engineering,Vinay Kulkarni,90
26,1,2025,576729245,101,Zeta Management School,Biotechnology,Rajan Patel,68
27,1,2025,243308628,103,Zeta Management School,Data Science,Kavita Jain,58
28,1,2025,222439041,102,Kappa Law School,Computer Science,Leena Desai,62
29,1,2025,765943292,106,Gamma Arts College,Data Science,Kavita Jain,97
30,1,2025,135297365,109,Beta Engineering College,Physics,Arun Singh,78
31,1,2025,176018582,102,Zeta Management School,Mechanical Engineering,Rajan Patel,92
1,2,2025,708230756,105,Epsilon Medical Institute,Physics,Rajan Patel,59
2,2,2025,995543372,110,Beta Engineering College,AI & Machine Learning,Rajan Patel,79
3,2,2025,180524341,105,Eta Polytechnic,Civil Engineering,Asha Sharma,82
4,2,2025,420308782,110,Beta Engineering College,Civil Engineering,Ananya Roy,57
5,2,2025,761285057,105,Beta Engineering College,Chemical Engineering,Kavita Jain,100
6,2,2025,385544463,104,Alpha Institute of Technology,Mechanical Engineering,Kavita Jain,80
7,2,2025,354617831,106,Gamma Arts College,AI & Machine Learning,Leena Desai,53
8,2,2025,800703904,106,Delta Science University,Data Science,Asha Sharma,45
9,2,2025,755580297,103,Eta Polytechnic,Computer Science,Ravi Gupta,97
10,2,2025,473023021,101,Theta Design Academy,AI & Machine Learning,Sneha Das,42
11,2,2025,430847267,105,Delta Science University,Mechanical Engineering,Arun Singh,92
12,2,2025,714267136,104,Iota Technical College,AI & Machine Learning,Leena Desai,46
13,2,2025,217716184,108,Kappa Law School,AI & Machine Learning,Arun Singh,52
14,2,2025,337788229,110,Zeta Management School,Data Science,Arun Singh,41
15,2,2025,945771503,109,Eta Polytechnic,Electrical Engineering,Rajan Patel,53
16,2,2025,752430528,104,Eta Polytechnic,AI & Machine Learning,Ravi Gupta,92
17,2,2025,273597289,108,Epsilon Medical Institute,Computer Science,Rajan Patel,80
18,2,2025,714531134,109,Theta Design Academy,AI & Machine Learning,Ananya Roy,93
19,2,2025,455275685,110,Zeta Management School,Electrical Engineering,Priya Mehta,64
20,2,2025,434193447,106,Kappa Law School,Electrical Engineering,Leena Desai,67
21,2,2025,966279674,110,Delta Science University,Physics,Ananya Roy,73
22,2,2025,103458169,109,Gamma Arts College,Chemical Engineering,Kavita Jain,94
23,2,2025,475145873,102,Epsilon Medical Institute,Physics,Rajan Patel,66
24,2,2025,919366760,108,Beta Engineering College,Civil Engineering,Priya Mehta,92
25,2,2025,669258241,109,Gamma Arts College,Civil Engineering,Priya Mehta,46
26,2,2025,290407941,102,Zeta Management School,Data Science,Ananya Roy,51
27,2,2025,431462899,105,Iota Technical College,Data Science,Ravi Gupta,52
28,2,2025,339016902,108,Delta Science University,Mechanical Engineering,Ananya Roy,86
1,3,2025,281608339,101,Kappa Law School,Data Science,Vinay Kulkarni,76
2,3,2025,318804814,103,Kappa Law School,AI & Machine Learning,Priya Mehta,96
