1,01/01/20,NULL,4,108,Theta Design Academy,NULL,NULL,107,90,FAIL,2025-04-08,$CurrentMa
2,02/01/20,NULL,4,102,Beta Engineering College,NULL,NULL,110,40,FAIL,2025-04-08,$CurrentMa
3,03/01/20,NULL,3,103,Gamma Arts College,NULL,NULL,103,80,FAIL,2025-04-08,$CurrentMa
4,04/01/20,NULL,9,103,Gamma Arts College,NULL,NULL,103,70,FAIL,2025-04-08,$CurrentMa
5,05/01/20,NULL,8,107,Eta Polytechnic,NULL,NULL,103,73,FAIL,2025-04-08,$CurrentMa
6,06/01/20,NULL,1,102,Beta Engineering College,NULL,NULL,105,86,FAIL,2025-04-08,$CurrentMa
7,07/01/20,NULL,1,103,Gamma Arts College,NULL,NULL,107,88,FAIL,2025-04-08,$CurrentMa
8,08/01/20,NULL,3,105,Epsilon Medical Institute,NULL,NULL,110,40,FAIL,2025-04-08,$CurrentMa
9,09/01/20,NULL,9,108,Theta Design Academy,1007,Physics,103,58,PASS,2025-04-08,$CurrentMa
10,10/01/20,NULL,6,102,Beta Engineering College,NULL,NULL,108,63,FAIL,2025-04-08,$CurrentMa
11,11/01/20,NULL,7,102,Beta Engineering College,NULL,NULL,101,95,FAIL,2025-04-08,$CurrentMa
12,12/01/20,NULL,4,109,Iota Technical College,NULL,NULL,103,58,FAIL,2025-04-08,$CurrentMa
32,01/02/20,NULL,5,105,Epsilon Medical Institute,1007,Physics,109,59,PASS,2025-04-08,$CurrentMa
33,02/02/20,NULL,10,102,Beta Engineering College,NULL,NULL,109,79,FAIL,2025-04-08,$CurrentMa
34,03/02/20,NULL,5,107,Eta Polytechnic,NULL,NULL,101,82,FAIL,2025-04-08,$CurrentMa
35,04/02/20,NULL,10,102,Beta Engineering College,NULL,NULL,108,57,FAIL,2025-04-08,$CurrentMa
36,05/02/20,NULL,5,102,Beta Engineering College,NULL,NULL,105,100,FAIL,2025-04-08,$CurrentMa
37,06/02/20,NULL,4,NULL,NULL,NULL,NULL,105,80,FAIL,2025-04-08,$CurrentMa
38,07/02/20,NULL,6,103,Gamma Arts College,NULL,NULL,107,53,FAIL,2025-04-08,$CurrentMa
39,08/02/20,NULL,6,104,Delta Science University,NULL,NULL,101,45,FAIL,2025-04-08,$CurrentMa
40,09/02/20,NULL,3,107,Eta Polytechnic,NULL,NULL,102,97,FAIL,2025-04-08,$CurrentMa
41,10/02/20,NULL,1,108,Theta Design Academy,NULL,NULL,110,42,FAIL,2025-04-08,$CurrentMa
42,11/02/20,NULL,5,104,Delta Science University,NULL,NULL,106,92,FAIL,2025-04-08,$CurrentMa
43,12/02/20,NULL,4,109,Iota Technical College,NULL,NULL,107,46,FAIL,2025-04-08,$CurrentMa
60,01/03/20,NULL,1,110,Kappa Law School,NULL,NULL,104,76,FAIL,2025-04-08,$CurrentMa
61,02/03/20,NULL,3,110,Kappa Law School,NULL,NULL,103,96,FAIL,2025-04-08,$CurrentMa
62,03/03/20,NULL,4,107,Eta Polytechnic,NULL,NULL,109,67,FAIL,2025-04-08,$CurrentMa
63,04/03/20,NULL,3,103,Gamma Arts College,NULL,NULL,104,62,FAIL,2025-04-08,$CurrentMa
64,05/03/20,NULL,1,104,Delta Science University,NULL,NULL,102,76,FAIL,2025-04-08,$CurrentMa
65,06/03/20,NULL,5,105,Epsilon Medical Institute,1007,Physics,103,56,PASS,2025-04-08,$CurrentMa
66,07/03/20,NULL,10,110,Kappa Law School,NULL,NULL,107,41,FAIL,2025-04-08,$CurrentMa
67,08/03/20,NULL,6,106,Zeta Management School,NULL,NULL,103,58,FAIL,2025-04-08,$CurrentMa
68,09/03/20,NULL,9,106,Zeta Management School,NULL,NULL,102,63,FAIL,2025-04-08,$CurrentMa
69,10/03/20,NULL,4,110,Kappa Law School,NULL,NULL,110,52,FAIL,2025-04-08,$CurrentMa
70,11/03/20,NULL,9,110,Kappa Law School,NULL,NULL,107,63,FAIL,2025-04-08,$CurrentMa
71,12/03/20,NULL,8,108,Theta Design Academy,NULL,NULL,104,45,FAIL,2025-04-08,$CurrentMa
91,01/04/20,NULL,6,107,Eta Polytechnic,NULL,NULL,108,90,FAIL,2025-04-08,$CurrentMa
92,02/04/20,NULL,9,106,Zeta Management School,NULL,NULL,108,40,FAIL,2025-04-08,$CurrentMa
93,03/04/20,NULL,4,103,Gamma Arts College,NULL,NULL,110,43,FAIL,2025-04-08,$CurrentMa
94,04/04/20,NULL,9,NULL,NULL,NULL,NULL,105,56,FAIL,2025-04-08,$CurrentMa
95,05/04/20,NULL,7,102,Beta Engineering College,NULL,NULL,107,61,FAIL,2025-04-08,$CurrentMa
96,06/04/20,NULL,9,NULL,NULL,NULL,NULL,104,45,FAIL,2025-04-08,$CurrentMa
97,07/04/20,NULL,7,108,Theta Design Academy,NULL,NULL,103,61,FAIL,2025-04-08,$CurrentMa
98,08/04/20,NULL,2,110,Kappa Law School,NULL,NULL,107,89,FAIL,2025-04-08,$CurrentMa
99,09/04/20,NULL,5,108,Theta Design Academy,NULL,NULL,101,45,FAIL,2025-04-08,$CurrentMa
100,10/04/20,NULL,5,102,Beta Engineering College,NULL,NULL,104,79,FAIL,2025-04-08,$CurrentMa
101,11/04/20,NULL,7,105,Epsilon Medical Institute,NULL,NULL,103,76,FAIL,2025-04-08,$CurrentMa
102,12/04/20,NULL,3,108,Theta Design Academy,NULL,NULL,107,90,FAIL,2025-04-08,$CurrentMa
121,01/05/20,NULL,6,106,Zeta Management School,NULL,NULL,105,66,FAIL,2025-04-08,$CurrentMa
122,02/05/20,NULL,6,108,Theta Design Academy,1007,Physics,110,99,PASS,2025-04-08,$CurrentMa
123,03/05/20,NULL,5,109,Iota Technical College,NULL,NULL,108,86,FAIL,2025-04-08,$CurrentMa
124,04/05/20,NULL,4,102,Beta Engineering College,NULL,NULL,107,99,FAIL,2025-04-08,$CurrentMa
125,05/05/20,NULL,3,107,Eta Polytechnic,NULL,NULL,109,71,FAIL,2025-04-08,$CurrentMa
126,06/05/20,NULL,5,109,Iota Technical College,NULL,NULL,102,96,FAIL,2025-04-08,$CurrentMa
127,07/05/20,NULL,7,110,Kappa Law School,NULL,NULL,101,68,FAIL,2025-04-08,$CurrentMa
128,08/05/20,NULL,9,108,Theta Design Academy,NULL,NULL,101,97,FAIL,2025-04-08,$CurrentMa
129,09/05/20,NULL,1,106,Zeta Management School,NULL,NULL,110,68,FAIL,2025-04-08,$CurrentMa
130,10/05/20,NULL,3,106,Zeta Management School,NULL,NULL,110,93,FAIL,2025-04-08,$CurrentMa
131,11/05/20,NULL,8,110,Kappa Law School,NULL,NULL,106,45,FAIL,2025-04-08,$CurrentMa
132,12/05/20,NULL,5,102,Beta Engineering College,NULL,NULL,103,49,FAIL,2025-04-08,$CurrentMa
152,01/06/20,NULL,1,109,Iota Technical College,1007,Physics,105,89,PASS,2025-04-08,$CurrentMa
153,02/06/20,NULL,5,107,Eta Polytechnic,1007,Physics,105,94,PASS,2025-04-08,$CurrentMa
154,03/06/20,NULL,8,103,Gamma Arts College,NULL,NULL,102,55,FAIL,2025-04-08,$CurrentMa
155,04/06/20,NULL,9,NULL,NULL,NULL,NULL,102,79,FAIL,2025-04-08,$CurrentMa
156,05/06/20,NULL,3,102,Beta Engineering College,NULL,NULL,102,95,FAIL,2025-04-08,$CurrentMa
157,06/06/20,NULL,4,103,Gamma Arts College,NULL,NULL,107,73,FAIL,2025-04-08,$CurrentMa
158,07/06/20,NULL,5,NULL,NULL,NULL,NULL,101,44,FAIL,2025-04-08,$CurrentMa
159,08/06/20,NULL,1,106,Zeta Management School,NULL,NULL,108,51,FAIL,2025-04-08,$CurrentMa
160,09/06/20,NULL,9,NULL,NULL,NULL,NULL,102,78,FAIL,2025-04-08,$CurrentMa
161,10/06/20,NULL,8,105,Epsilon Medical Institute,NULL,NULL,104,74,FAIL,2025-04-08,$CurrentMa
162,11/06/20,NULL,9,108,Theta Design Academy,NULL,NULL,109,99,FAIL,2025-04-08,$CurrentMa
163,12/06/20,NULL,6,107,Eta Polytechnic,NULL,NULL,106,71,FAIL,2025-04-08,$CurrentMa
182,01/07/20,NULL,8,110,Kappa Law School,NULL,NULL,101,46,FAIL,2025-04-08,$CurrentMa
183,02/07/20,NULL,7,106,Zeta Management School,1007,Physics,110,54,PASS,2025-04-08,$CurrentMa
184,03/07/20,NULL,10,109,Iota Technical College,NULL,NULL,104,54,FAIL,2025-04-08,$CurrentMa
185,04/07/20,NULL,10,110,Kappa Law School,NULL,NULL,104,66,FAIL,2025-04-08,$CurrentMa
186,05/07/20,NULL,6,110,Kappa Law School,1007,Physics,108,50,PASS,2025-04-08,$CurrentMa
187,06/07/20,NULL,4,105,Epsilon Medical Institute,NULL,NULL,103,58,FAIL,2025-04-08,$CurrentMa
188,07/07/20,NULL,2,105,Epsilon Medical Institute,NULL,NULL,107,40,FAIL,2025-04-08,$CurrentMa
189,08/07/20,NULL,10,110,Kappa Law School,NULL,NULL,107,96,FAIL,2025-04-08,$CurrentMa
190,09/07/20,NULL,8,NULL,NULL,NULL,NULL,108,74,FAIL,2025-04-08,$CurrentMa
191,10/07/20,NULL,8,108,Theta Design Academy,NULL,NULL,106,49,FAIL,2025-04-08,$CurrentMa
192,11/07/20,NULL,1,107,Eta Polytechnic,1007,Physics,107,44,FAIL,2025-04-08,$CurrentMa
193,12/07/20,NULL,10,104,Delta Science University,NULL,NULL,105,70,FAIL,2025-04-08,$CurrentMa
